,CREATED_AT,SHIFT_ID,ACTION,WORKER_ID,SHIFT_START_LOGS,FACILITY_ID,PERFORMED_BY_TYPE,LEAD_TIME,SHIFT_TYPE
0,2021-11-30 10:30:58.105000+00:00,59,SHIFT_CLAIM,46,2021-12-18 22:30:00+00:00,23,ADMIN,443.983889,pm
1,2021-10-26 13:48:53.223000+00:00,59,SHIFT_OPEN,,2021-12-18 22:30:00+00:00,23,FACILITY,1280.685278,pm
2,2021-12-20 00:43:46.891000+00:00,59,SHIFT_VERIFY,46,2021-12-18 22:30:00+00:00,23,ADMIN,-26.229444,pm
3,2021-12-03 04:11:43.297000+00:00,1399,SHIFT_OPEN,,2021-12-04 22:30:00+00:00,19,FACILITY,42.304722,pm
4,2021-12-03 04:13:47.957000+00:00,1399,SHIFT_CLAIM,121,2021-12-04 22:30:00+00:00,19,AGENT,42.270278,pm
5,2021-12-04 19:56:51.722000+00:00,1399,WORKER_CANCEL,121,2021-12-04 22:30:00+00:00,19,AGENT,2.5525,pm
6,2021-12-04 20:17:44.958000+00:00,1399,SHIFT_CLAIM,42,2021-12-04 22:30:00+00:00,19,AGENT,2.204444,pm
7,2021-12-05 02:49:08.758000+00:00,1399,NO_CALL_NO_SHOW,42,2021-12-04 22:30:00+00:00,19,AGENT,-4.318889,pm
8,2021-12-09 17:32:11.244000+00:00,1915,SHIFT_OPEN,,2021-12-09 23:00:00+00:00,3,ADMIN,5.463611,pm
9,2021-12-09 13:02:23.289000+00:00,1785,SHIFT_CLAIM,105,2021-12-10 23:00:00+00:00,25,ADMIN,33.960278,pm
10,2021-12-09 13:19:19.883000+00:00,1785,SHIFT_CLAIM,105,2021-12-10 23:00:00+00:00,25,ADMIN,33.678056,pm
11,2021-12-09 13:09:13.715000+00:00,1785,SHIFT_UNBOOK,34,2021-12-10 23:00:00+00:00,25,SYSTEM AUTOMATED,33.846389,pm
12,2021-12-08 16:07:47.893000+00:00,1785,SHIFT_UNBOOK,34,2021-12-10 23:00:00+00:00,25,SYSTEM AUTOMATED,54.870278,pm
13,2021-12-08 16:07:01.230000+00:00,1785,SHIFT_CLAIM,34,2021-12-10 23:00:00+00:00,25,ADMIN,54.883056,pm
14,2021-12-09 23:29:48.893000+00:00,1785,FACILITY_CANCEL_FILLED,105,2021-12-10 23:00:00+00:00,25,ADMIN,23.503333,pm
15,2021-12-08 00:51:03.832000+00:00,1785,SHIFT_UNBOOK,34,2021-12-10 23:00:00+00:00,25,SYSTEM AUTOMATED,70.149167,pm
16,2021-12-08 00:46:35.368000+00:00,1785,SHIFT_CLAIM,34,2021-12-10 23:00:00+00:00,25,ADMIN,70.223611,pm
17,2021-12-08 00:46:15.989000+00:00,1785,SHIFT_OPEN,,2021-12-10 23:00:00+00:00,25,ADMIN,70.229167,pm
18,2021-12-20 03:10:13.701000+00:00,1886,FACILITY_CANCEL,,2021-12-18 15:00:00+00:00,1,FACILITY,-36.170278,am
19,2021-12-09 12:56:49.596000+00:00,1886,SHIFT_OPEN,,2021-12-18 15:00:00+00:00,1,FACILITY,218.053056,am
20,2021-11-17 02:51:26.958000+00:00,234,SHIFT_OPEN,106,2021-12-18 23:00:00+00:00,54,ADMIN,764.142778,pm
21,2021-12-04 09:38:47.846000+00:00,234,SHIFT_UNBOOK,106,2021-12-18 23:00:00+00:00,54,SYSTEM AUTOMATED,349.353611,pm
22,2021-11-17 02:41:36.973000+00:00,234,SHIFT_CLAIM,106,2021-12-18 23:00:00+00:00,54,ADMIN,764.306667,pm
23,2021-12-06 15:34:58.794000+00:00,234,FACILITY_CANCEL,,2021-12-18 23:00:00+00:00,54,FACILITY,295.417222,pm
24,2021-12-02 18:11:22.342000+00:00,1271,SHIFT_OPEN,,2021-12-11 22:30:00+00:00,15,FACILITY,220.310556,pm
25,2021-12-03 21:09:53.718000+00:00,1271,SHIFT_CLAIM,99,2021-12-11 22:30:00+00:00,15,AGENT,193.335278,pm
26,2021-12-13 00:36:46.916000+00:00,1271,SHIFT_VERIFY,99,2021-12-11 22:30:00+00:00,15,ADMIN,-26.112778,pm
27,2021-12-01 19:38:53.424000+00:00,1190,SHIFT_OPEN,,2021-12-03 15:00:00+00:00,56,FACILITY,43.351944,am
28,2021-11-30 17:58:24.840000+00:00,784,SHIFT_UNBOOK,21,2021-12-01 23:00:00+00:00,13,SYSTEM AUTOMATED,29.026667,pm
29,2021-12-02 08:03:41.649000+00:00,784,SHIFT_VERIFY,161,2021-12-01 23:00:00+00:00,13,ADMIN,-9.061389,pm
30,2021-11-26 21:52:44.076000+00:00,784,SHIFT_OPEN,,2021-12-01 23:00:00+00:00,13,FACILITY,121.121111,pm
31,2021-12-01 16:41:30.437000+00:00,784,SHIFT_CLAIM,161,2021-12-01 23:00:00+00:00,13,AGENT,6.308333,pm
32,2021-11-27 09:46:52.379000+00:00,784,SHIFT_CLAIM,21,2021-12-01 23:00:00+00:00,13,AGENT,109.218889,pm
33,2021-12-08 17:54:56.790000+00:00,1809,SHIFT_OPEN,,2021-12-13 07:00:00+00:00,34,FACILITY,109.084444,noc
34,2021-12-09 13:15:28.350000+00:00,1809,SHIFT_CLAIM,185,2021-12-13 07:00:00+00:00,34,ADMIN,89.742222,noc
35,2021-12-12 18:59:27.240000+00:00,1809,FACILITY_CANCEL,,2021-12-13 07:00:00+00:00,34,ADMIN,12.009167,noc
36,2021-12-11 17:41:31.785000+00:00,1809,WORKER_CANCEL,156,2021-12-13 07:00:00+00:00,34,AGENT,37.308056,noc
